Name,Conflict,Casualties,Start Year,End Year,Type,Coordinates,URL,Conflict_URL
1938 Yellow River Flood,Second Sino-Japanese War,800000,1938,1938,Operation,"34.876967, 113.672767",https://en.wikipedia.org/wiki/1938_Yellow_River_flood,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
1982 Lebanon War,Israeli-Lebanese conflict,18500,1982,1985,Operation,"33.833333, 35.833333",https://en.wikipedia.org/wiki/1982_Lebanon_War,https://en.wikipedia.org/wiki/Israeli%E2%80%93Lebanese_conflict
Allied invasion of Italy,World War II,17092,1943,1943,Operation,"40.683333, 14.766667",https://en.wikipedia.org/wiki/Allied_invasion_of_Italy,https://en.wikipedia.org/wiki/World_War_II
Allied invasion of Sicily,World War II,36000,1943,1943,Operation,"37.5, 14",https://en.wikipedia.org/wiki/Allied_invasion_of_Sicily,https://en.wikipedia.org/wiki/World_War_II
Appomattox Campaign,American Civil War,16500,1865,1865,Operation,"37.377128, -78.797175",https://en.wikipedia.org/wiki/Appomattox_Campaign,https://en.wikipedia.org/wiki/American_Civil_War
Arab-Israeli War,Arab-Israeli conflict,19000,1948,1949,Operation,"31, 35",https://en.wikipedia.org/wiki/1948_Arab%E2%80%93Israeli_War,https://en.wikipedia.org/wiki/Arab%E2%80%93Israeli_conflict
Assyrian Conquest of Syria,Assyrian Conquest of Syria,14000,853 BC,853 BC,Battle,"33.513, 36.292 ",https://en.wikipedia.org/wiki/Assyrian_conquest_of_Aram,https://en.wikipedia.org/wiki/Assyrian_conquest_of_Aram
Battle of Adrianople,Gothic War,40000,378,378,Battle,"41.8, 26.6",https://en.wikipedia.org/wiki/Battle_of_Adrianople,https://en.wikipedia.org/wiki/Gothic_War_(376%E2%80%93382)
Battle of Adwa,First Italo-Ethiopian War,17300,1896,1896,Battle,"14.018889, 38.973333",https://en.wikipedia.org/wiki/Battle_of_Adwa,https://en.wikipedia.org/wiki/First_Italo-Ethiopian_War
Battle of al-Q?disiyyah,Muslim conquest of Persia,31000,636,636,Battle,"31.583333, 44.5",https://en.wikipedia.org/wiki/Battle_of_al-Q%C4%81disiyyah,https://en.wikipedia.org/wiki/Muslim_conquest_of_Persia
Battle of Aleppo,Syrian Civil War,31200,2012,2017,Operation,"36.216667, 37.166667",https://en.wikipedia.org/wiki/Battle_of_Aleppo_(2012%E2%80%932016),https://en.wikipedia.org/wiki/Syrian_Civil_War
Battle of Ankara,Ottoman-Timur War,80000,1402,1402,Battle,"39.8667, 32.8667",https://en.wikipedia.org/wiki/Battle_of_Ankara,https://en.wikipedia.org/wiki/Timur#Campaigns_in_the_Levant
Battle of Antietam,American Civil War,26193,1862,1862,Battle,"39.473333, -77.744722",https://en.wikipedia.org/wiki/Battle_of_Antietam,https://en.wikipedia.org/wiki/American_Civil_War
Battle of Arausio,Germanic Wars (Cimbrian War),84000,105 BC,105 BC,Battle,"44.1383, 4.8097",https://en.wikipedia.org/wiki/Battle_of_Arausio,https://en.wikipedia.org/wiki/Cimbrian_War
Battle of Arcole,War of the First Coalition,11000,1796,1796,Battle,"45.35, 11.283333",https://en.wikipedia.org/wiki/Battle_of_Arcole,https://en.wikipedia.org/wiki/War_of_the_First_Coalition
Battle of Asiago,World War I,240000,1916,1916,Operation,"45.901944, 11.508889",https://en.wikipedia.org/wiki/Battle_of_Asiago,https://en.wikipedia.org/wiki/World_War_I
Battle of Austerlitz,War of the Third Coalition,45000,1805,1805,Battle,"49.133333, 16.766667",https://en.wikipedia.org/wiki/Battle_of_Austerlitz,https://en.wikipedia.org/wiki/War_of_the_Third_Coalition
Battle of Bannockburn,First War of Scottish Independence,19000,1314,1314,Battle,"56.092, -3.915",https://en.wikipedia.org/wiki/Battle_of_Bannockburn,https://en.wikipedia.org/wiki/First_War_of_Scottish_Independence
Battle of Bataan/Battle of Corregidor,World War II,30000,1942,1942,Operation,"14.67, 120.42 ",https://en.wikipedia.org/wiki/Battle_of_Bataan,https://en.wikipedia.org/wiki/World_War_II
Battle of Berestechko,Khmelnytsky Uprising,40000,1651,1651,Battle,"50.35, 25.116667 ",https://en.wikipedia.org/wiki/Battle_of_Berestechko,https://en.wikipedia.org/wiki/Khmelnytsky_Uprising
Battle of Berezina,French invasion of Russia,60000,1812,1812,Battle,"54.325833, 28.360517",https://en.wikipedia.org/wiki/Battle_of_Berezina,https://en.wikipedia.org/wiki/French_invasion_of_Russia
